,slug,description
861,white-haze,"Soma Seeds created Lavender Haze as a combination of the purple-hued Lavender strain and G-13 Haze. The top reported aroma of the Lavender Haze strain is its namesake lavender, featuring earth and sweet florals. It is said to taste like vanilla, lavender, and fresh soil. Lavender Haze develops into small, bushy plants that thrive in both indoor and outdoor gardens. The cultivar prefers temperate environments with plenty of light. Indoor growers can boost yields using the SOG method to shorten the flowering period. Lavender Haze reaches full maturity in eight to nine weeks inside and by mid-October outdoors. Lavender Haze is available as seeds and clones."
862,lavender-haze,"Although the origin story of Blueberry Diesel is a bit of a mystery, most sources claim that it appears to be a cross of Blueberry and either Sour Diesel or NYC Diesel, both of which descend from Diesel and Northern Lights. Blueberry Diesel is sometimes referred to as Blue Diesel. Pulling from its purported lineage, this strain is said to have a fruity and diesel flavor profile. While the strain is relatively unknown and has a muddled history (for example, there’s also a Blueberry Diesel that is a cross of Blueberry Cheese and Purple Diesel), several online sources claim that this strain grows tall and requires support and Low-Stress Training (LST) to thrive. Suitable for indoor and outdoor growing conditions, Blueberry Diesel is said to yield purple-hued buds with heavy coats of trichomes and orange stigma hairs in an eight-to-nine-week flowering cycle. Several online seed banks have carried Blueberry Diesel in the past, but this mystifying strain currently appears to be discontinued or out of stock in most of those shops."
863,blueberry-diesel,"Washington-based Fire Bros. created Sweet Pebbles as a combination of Fruity Pebbles and Sour Pebbles. The top reported aromas of the Sweet Pebbles strain are berries, lavender, earth, and sour citrus. It is said to taste like blueberries, oranges, and sugar. Sweet Pebbles is an indica-leaning hybrid, resistant to too much moisture, pest, and diseases. It prefers slightly cooler growing environments and produces blue and purple coloring when exposed to cold nighttime temperatures before flowering. Sweet Pebbles reaches full maturity in eight to nine weeks indoors and mid-October outside. Sweet Pebbles is available as clones only."
864,sweet-pebbles,"There are two versions of Alien Bubba available on the cannabis market. Los Angeles-based Cali Connection created their Alien Bubba as a combination of Pre-98 Bubba Kush and the team’s proprietary Alien Kush. La Plata Labs also has a version of Alien Bubba that is a heavily backcrossed combination of Alien OG and Cali Connection’s original Alien Bubba. The top reported aromas of the Alien Bubba strain are musky earth, wood, and creamy hash. And it is said to taste like musty loam, sweet wood, and mild fruit. Alien Bubba is an indica-leaning cultivar, developing short and bushy plants with robust and lateral branch structures. The strain grows indoors and outdoors, favoring a semi-humid climate with plenty of light. Alien Bubba reaches full maturity in nine to ten weeks indoors and early October outdoors. When successfully raised, Alien Bubba produces moderate yields of dense, tapered buds. Alien Bubba is available as seeds only."
865,alien-bubba,"Alien Sour Apple is a marriage made in weed heaven and presided over by Franchise Genetics. It’s a cross between the popular Alien Dawg and Sour Apple cultivars. The top reported aromas of Alien Sour Apple are sour apples, earth, and lemons. And it is said to taste like sweet fruit, pepper, and chemicals. Alien Sour Apple is a balanced hybrid that’s a cross between Alien Dawg and Sour Apple. It produces medium-sized plants that may be somewhat difficult to grow. Alien Sour Apple has an average flowering time between 49 and 63 days indoors and October outdoors. It is known to produce average-sized yields in ideal conditions. Alien Sour Apple grows well indoors and outdoors. Alien Sour Apple is not available as seeds or clones."
866,alien-sour-apple,"Created by the breeders at Emerald Triangle Seeds, Cherry OG is a cross of Cherry Thai, which was crossed with an Afghan and then backcrossed with Cherry Thai to evoke the flavors of the mother strain, and the breeders’ very own Lost Coast OG. Cherry OG offers a tasty flavor combination of cherries and fuel, and a strain with medium-sized, resin-heavy buds with a sour berry flavor profile. According to the breeder, this hybrid strain grows vigorously into a tall, lanky plant, performing at its best when given a well-balanced nutritional plant diet of nitrogen, calcium, and magnesium, although the proporitons for each are not laid out. Suitable for indoor or outdoor growing conditions, Emerald Triangle Seeds states that its Cherry OG is disease resistant. In a 10-week flowering period, Cherry OG plants yield large amounts of dense, medium-sized buds that are drenched with sticky resin, making it a viable candidate for concentrate extractions. If grown outdoors in the Northern Hemisphere, growers should prepare to harvest their Cherry OG plants around mid-October, while plants grown in the Southern Hemisphere should be harvested in mid-April."
867,cherry-og,"Black 84 is a bit of mystery that’s hard to find except in the Pacific Northwest. Some say it was pilfered from the University of Washington’s medical garden in the 80s while others say it was created by breeders who crossed Mendo Purps and Black Domina. The top reported aromas of the Black 84 strain are fruity, pungent, and spicy. It is said to taste like sour fruit, caramel, nuts. Black 84 is an indica-dominant strain that’s rumored to be a cross between Mendo Purps and Black Domina. Black 84 produces short plants with thick leaves thanks to its indica dominance. Black 84 has an average flowering time between 56 and 63 days and is known to produce high yields in ideal conditions. The Black 84 strain is best grown outdoors. Black 84 is not available as seeds or clones."
868,black-84,"Extreme OG is a mostly indica strain created by Exotic Genetix. It’s a cross of Fire OG and Green Dragon. The top reported aromas of Extreme OG are citrus, earth, and diesel. And it is said to taste like sweet lemons, pine, and herbs. Extreme OG won second place indica at the Santa Cruz Cup in 2018. Extreme OG is an indica-dominant strain that’s a cross between Fire OG and Green Dragon. It produces short, sturdy plants with good pest-resistance thanks to its indica heritage. Extreme OG has an average flowering time between 56 and 63 days and is known to produce high yields in ideal conditions. The strain grows well indoors and out but indoor gardeners may need to consider an odor-control system. Extreme OG is unavailable as seeds or clones."
869,extreme-og,"Purple Diesel is a Cali Connection creation, bred from a Pre-98 Bubba female pollinated by an Original Sour Diesel male. This colorful hybrid features purple, olive, and orange-hued buds that refract light with plentiful trichomes. Moderately skilled growers will find Purple Diesel easy to grow to full maturity using Screen of Green (ScrOG) growing conditions. Purple Diesel thrives either indoors or outdoors, growing into a squat plant with long fan leaves. The cultivar flowers in 63-66 days and successful growers will reap the rewards of a medium to large yield."
870,purple-diesel,"Faygo Red Pop by 710 Savant is a combination of Afghani and an unknown second strain. The cultivar is named for Faygo’s red soda from the 1960s. The top reported aromas of the strain are sweet fruit, berries, and earth. It is said to taste of spiced strawberries and fresh loam. Faygo Red Pop is the winner of the following awards: 1st Prize for Live Resin at the 2015 High Times Michigan Cannabis Cup Faygo Red Pop's landrace parentage gives this short indica plant resilience capable of withstanding weather changes, moisture, and disease. The cultivar thrives in indoor and outdoor settings and benefits from regular pruning and the Sea of Green (SOG) method to boost yields. Faygo Red Pop flowers in 49 to 63 days indoors and by early October outdoors. Its yields are a little below average in size. Faygo Red Pop is unavailable as seeds or clones."
